Daily New Addresses,Daily Active Addresses,Total Distinct Address,Total Delegators,Total Validators
92,508,114878,24570.0,100.0
69,428,114947,24579.0,101.0
80,421,115027,24627.0,107.0
107,406,115134,24647.0,101.0
96,378,115230,24686.0,100.0
93,432,115323,24710.0,101.0
86,383,115409,24758.0,102.0
90,397,115499,24782.0,103.0
83,406,115582,24791.0,100.0
116,415,115698,24821.0,100.0
83,366,115781,24833.0,100.0
104,369,115885,24844.0,100.0
200,476,116085,24858.0,100.0
146,492,116231,24889.0,102.0
287,856,116518,24910.0,101.0
244,811,116762,25043.0,101.0
190,603,116952,25118.0,100.0
145,465,117097,25183.0,100.0
111,459,117208,25212.0,100.0
138,505,117346,25258.0,101.0
126,518,117472,25282.0,100.0
137,542,117609,25312.0,100.0
217,618,117826,25349.0,100.0
